事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2311-189157-7,23110ｰ714359,愛知県,2311,311,71,5,250011,伊藤精工　株式会社,イトウセイコウ,474-0073,愛知県大府市東新町2-70,自動車部品製造業（金属加工）,400,355,270,85,0.48,"技能職",,121,193600,3.31,0.00,2交代,JR東海道本線,共和,,,1,刈谷市、大府市,"技能（機械、製造、技術）",474-0073,愛知県大府市東新町2-70,総務部人事課係長,大場　大知,0562-47-5511,0562-47-2274,"240006　伊藤精工　株式会社　技能職"
2307-204308-2,23070ｰ502359,愛知県,2307,225,71,2,250012,伊藤機工　株式会社,イトウキコウ,476-0001,愛知県東海市南柴田町ヌノ割412-4,"特殊高合金鋳物・表面処理装置・超微細球状金属粒子",200,196,166,30,1,生産技術職,,125,208000,5.56,0.00,なし,名鉄常滑線,柴田,1,,,東海市,"技能（機械、製造、技術）",476-0001,愛知県東海市南柴田町ヌノ割412-4,総務部　次長,鬼頭　勇紀,052-689-2211,052-689-2210,240017　伊藤機工　株式会社　生産技術職
1313-420311-6,13130-1905759,東京都,1313,246,67,8,250013,日鉄ハードフェイシング　株式会社,ニッテツハードフェイシング,136-0071,東京都江東区亀戸6-26-5　日土地亀戸ビル,"金属表面改質技術をコアとした製鉄業の重要設備品たるロール類等の開発、製造、販売",244,4,2,2,3,"技術（能）職（愛知）／交替",,103,175000,4.00,0.00,3交代,名鉄常滑線,新日鉄前,1,,,東海市,"技能（機械、製造、技術）",136-0071,東京都江東区亀戸6-26-5　日土地亀戸ビル,業務グループ　次長,小野　威一郎,052-601-1182,052-601-1808,"240068　日鉄ハードフェイシング　株式会社　技術（能）職（愛知）／交替"
2307ｰ180879ｰ6,23070ｰ60559,愛知県,2307,822,31,99,250014,株式会社　太洋自動車学校,タイヨウジドウシャガッコウ,477-0032,愛知県東海市加木屋町唐山43,自動車教習業,37,37,28,9,0.14,教習指導員候補,適性検査はSS（資質検査）,125,168000,0.00,40.00,なし,名鉄河和線,南加木屋,,,1,東海市,その他,477-0032,愛知県東海市加木屋町唐山43,総務課長,加藤,0562-34-9131,0562-34-0421
2307ｰ180879ｰ6,23070ｰ59359,愛知県,2307,822,31,1,250015,株式会社　太洋自動車学校,タイヨウジドウシャガッコウ,477-0032,愛知県東海市加木屋町唐山43,自動車教習業,37,37,28,9,0.14,一般事務,適性検査はSS（資質検査）、ストレスチェックあり,125,168000,0.00,30.00,シフト,名鉄河和線,南加木屋,,1,,東海市,事務,477-0032,愛知県東海市加木屋町唐山43,総務課長,加藤,0562-34-9131,0562-34-0421
2307-188571-4,23070ｰ461859,愛知県,2307,183,34,1,250016,金城化工　株式会社,キンジョウカコウ,476-0001,愛知県東海市南柴田町トノ割２６６－４,プラスチック射出成形・加工,19,16,8,8,0.12,事務スタッフ,小論文あり,114,184800,3.50,0.00,なし,名鉄常滑線,名和,,,1,東海市,事務,476-0001,愛知県東海市南柴田町トノ割２６６－４,業務部管理課グループリーダー,金子　淳一,052-601-1151,052-601-2417,240027　金城化工　株式会社　事務スタッフ
2307-188571-4,23070ｰ460959,愛知県,2307,183,73,8,250017,金城化工　株式会社,キンジョウカコウ,476-0001,愛知県東海市南柴田町トノ割２６６－４,プラスチック射出成形・加工,19,16,8,8,0.12,"プラスチックの成形技能員",小論文あり,114,186480,3.50,0.00,なし,名鉄常滑線,名和,,,1,東海市,"技能（機械、製造、技術）",476-0001,愛知県東海市南柴田町トノ割２６６－４,業務部管理課グループリーダー,金子　淳一,052-601-1151,052-601-2417,"240028　金城化工　株式会社　プラスチックの成形技能員"
2307-616696-8,23070ｰ574959,愛知県,2307,163,69,1,250018,東レ株式会社　東海工場,トウレ　トウカイコウジョウ,476-8567,愛知県東海市新宝町31番地,合成繊維原料・ケミカル原料およびプラスチック・フィルム、有機EL原料等の製造,10726,572,542,30,1478.7,生産技術職,,110,203200,5.69,0.00,3交代,名鉄常滑線,太田川,1,,,東海市,"技能（機械、製造、技術）",476-8567,愛知県東海市新宝町31番地,総務課総務G,長坂　光洋,052-689-1500,052-604-3179,240031　東レ株式会社　東海工場　生産技術職
2307-205599-2,23070-477659,愛知県,2307,593,45,11,250019,ハートランド　株式会社,ハートランド,475-0925,愛知県半田市宮本町３－２１６－３,情報通信事業（ａｕショップ運営）、ＫＤＤＩネットワーク事業,500,17,7,10,0.48,販売スタッフ　及び　受付事務,,108,184302,3.80,0.00,シフト,名鉄河和線,青山,,,1,半田市、常滑市,接客・販売,475-0925,愛知県半田市宮本町３－２１６－３,人事部　次長,加藤　健太,052-750-0970,052-750-0880,240038　ハートランド　株式会社　販売スタッフ　及び　受付事務,240037　ハートランド　株式会社　販売スタッフ　及び　受付事務
2307-205599-2,23070ｰ478959,愛知県,2307,593,45,11,250020,ハートランド　株式会社,ハートランド,475-0925,愛知県半田市宮本町３－２１６－３,情報通信事業（ａｕショップ運営）、ＫＤＤＩネットワーク事業,500,17,7,10,0.48,販売スタッフ　及び　受付事務,,108,184302,3.80,0.00,シフト,名鉄河和線,青山,,,1,知多市、東海市、大府市,接客・販売,475-0925,愛知県半田市宮本町３－２１６－３,人事部　次長,加藤　健太,052-750-0970,052-750-0880,240038　ハートランド　株式会社　販売スタッフ　及び　受付事務,240037　ハートランド　株式会社　販売スタッフ　及び　受付事務
2307-188181-7,23070ｰ73859,愛知県,2307,189,73,8,250021,株式会社　大洋プラスチックス工業所,タイヨウプラスチックスコウギョウショ,476-0012,愛知県東海市富木島町伏見４丁目１－８,プラスチック関連製品の企画・開発・製造・販売,88,86,38,48,0.36,プラスチック製品組立工,,113,180936,1.50,0.00,なし,名鉄河和線,太田川,,,2,東海市,"技能（機械、製造、技術）",476-0012,東海市富木島町伏見４丁目１－８,品質保証部　課長,坂野　智浩,052-603-1171,052-603-1175,240014　株式会社　大洋プラスチックス工業所　プラスチック製品組立工
2307-188181-7,23070ｰ72959,愛知県,2307,189,69,6,250022,株式会社　大洋プラスチックス工業所,タイヨウプラスチックスコウギョウショ,476-0012,愛知県東海市富木島町伏見４丁目１－８,プラスチック関連製品の企画・開発・製造・販売,88,2,1,1,0.36,プラスチック成形工員,,113,180936,1.40,0.00,3交代,名鉄河和線,太田川,,,2,大府市,"技能（機械、製造、技術）",476-0012,東海市富木島町伏見４丁目１－８,品質保証部,坂野　智浩,052-603-1171,052-603-1175,240013　株式会社　大洋プラスチックス工業所　プラスチック成形工員
2307-205403-9,23070ｰ488059,愛知県,2307,311,34,1,250023,株式会社　ティラド　名古屋製作所,ティラド　ナゴヤセイサクジョ,470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,熱交換器を設計・製造・販売,1904,379,338,41,85.7,事務職,,121,203110,4.66,0.00,フレックス,JR武豊線,東浦,,1,,東浦町,事務,470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,工場管理部　人事総務グループ,清水　愛美,0562-83-0102,0562-83-3142,220326　株式会社　ティラド　名古屋製作所　事務技術職
2307-205403-9,23070ｰ361559,愛知県,2307,311,74,1,250024,株式会社　ティラド　名古屋製作所,ティラド　ナゴヤセイサクジョ,470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,熱交換器を設計・製造・販売,1904,379,338,41,85.7,"製造技能職",,121,203110,4.66,0.00,シフト,JR武豊線,東浦,,,2,東浦町,"技能（機械、製造、技術）",470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,工場管理部　人事総務グループ,清水　愛美,0562-83-0102,0562-83-3142,"240032　株式会社　ティラド　名古屋製作所　技能職"
2307ｰ180759ｰ7,23070ｰ276659,愛知県,2307,94,72,6,250025,泉万醸造　株式会社,イズマンジョウゾウ,470-2544,愛知県知多郡武豊町字里中78,"味噌・溜醤油等醸造製品、つゆ・たれ・スープソース・ドレッシング等加工調味料、レトルト食品・惣菜の製造及び販売",127,74,38,36,0.18,食品工場従業員,,113,197500,0.00,21.00,シフト,名鉄河和線,知多武豊,,,1,武豊町,"技能（食品製造・調理）",470-2544,愛知県知多郡武豊町字里中78,総務部,勝崎、後藤,0569-72-7400,0569-89-7500
2307-180929-7,23070ｰ233659,愛知県,2307,96,39,2,250026,日清製粉　株式会社　知多工場,ニッシンセイフン　チタコウジョウ,478-8501,愛知県知多市北浜町１２,小麦粉、ふすま、その他の加工品および関連商材の製造・販売,967,68,58,10,149.17,製造出荷業務,,124,182091,6.50,0.00,3交代,名鉄常滑線,朝倉,,,1,知多市、名古屋市中川区,"技能（機械、製造、技術）",478-8501,愛知県知多市北浜町１２,次長,平野　文護,0562-33-4121,0562-32-7730,240034　日清製粉株式会社　知多工場　製造出荷業務
1801-107182-9,18010ｰ615559,福井県,1801,751,56,4,250027,フリックイン福井　株式会社,フリックインフクイ,910-0006,福井県福井市中央3-4-20,ビジネスホテルの運営,48,12,5,7,0.5,ビジネスホテルフロント業務（エリア）,,105,203000,3.70,0.00,シフト,名鉄河和線,青山,,,2,半田市、大府市,接客・販売,910-0006,福井県福井市中央3-4-20,支配人,笠井　文菜,0569-21-3388,0569-21-1011,240022　フリックイン福井　株式会社　ビジネスホテルフロント業務（エリア）
2303-208555-1,23030-455359,愛知県,2303,593,45,11,250028,有限会社　中部携帯電話サービス,チュウブケイタイデンワサービス,457-0841,名古屋市南区豊田１－１５－１０,通信機器販売業,24,18,8,10,0.06,通信機器販売,,110,194000,1.50,0.00,シフト,名鉄常滑線,道徳,,,1,名古屋市南区,接客・販売,457-0841,名古屋市南区豊田１－１５－１０,運営責任者,金子　栄男,052-694-2200,052-694-2357,240269　有限会社　中部携帯電話サービス　通信機器販売
2307-200370-1,23070-142759,愛知県,2307,920,34,1,250029,株式会社　ユー・エス・エス,ユーエスエス,476-0005,愛知県東海市新宝町507-20,中古自動車のオークション会場運営,848,27,18,9,188.81,事務職～中古車のオークション会場事務～,,113,209000,6.30,0.00,なし,名鉄常滑線,大同町,,1,,東海市,事務,476-0005,愛知県東海市新宝町507-20,本社　管理部,田中・熊澤,052-689-1163,052-604-4343,240337　株式会社　ユー・エス・エス　事務職～中古車オークション会場事務～
2307-188887-0,23070-386559,愛知県,2307,482,89,4,250030,日鉄物流株式会社　名古屋支店,ニッテツブツリュウ　ナゴヤシテン,476-0015,"愛知県東海市東海町5-3　日本製鉄株式会社　名古屋製鉄所構内",鉄鋼製品を輸送する総合物流業,6469,606,570,36,40,クレーン・機関車・フォークリフト・重機等の運転士,,103,223100,4.22,0.00,3交代,名鉄常滑線,新日鉄前,,,2,東海市,"技能（機械、製造、技術）",476-0015,"愛知県東海市東海町5-3　日本製鉄株式会社　名古屋製鉄所構内",総務労政課　主幹,濱村　宏幸,052-603-2811,052-601-2029,240045　日鉄物流株式会社　名古屋支店　クレーン・機関車・フォークリフト・重機等の運転士
2307-188887-0,23070ｰ385259,愛知県,2307,482,75,3,250031,日鉄物流株式会社　名古屋支店,ニッテツブツリュウ　ナゴヤシテン,476-0015,"愛知県東海市東海町5-3　日本製鉄株式会社　名古屋製鉄所構内",鉄鋼製品を輸送する総合物流業,6469,606,570,36,40,大型車両（ダンプ・キャリアカー）、岸壁クレーン・天井クレーン等の整備業務,筆記試験：SPI,123,223100,4.22,0.00,なし,名鉄常滑線,新日鉄前,,,2,東海市,"技能（機械、製造、技術）",476-0015,"愛知県東海市東海町5-3　日本製鉄株式会社　名古屋製鉄所構内",総務労政課　主幹,濱村　宏幸,052-603-2811,052-601-2029,240046　日鉄物流株式会社　名古屋支店　大型車両（ダンプ・キャリアカー）、ガントリークレーン・天井クレーン等の整備業務
2307-203854-8,23070ｰ223459,愛知県,2307,215,75,1,250032,黒崎播磨　株式会社　名古屋支店,クロサキハリマ　ナゴヤシテン,476-0015,"愛知県東海市東海町5-3　日本製鉄㈱名古屋製鉄所構内",工業窯炉用耐火物の製造・販売・施工,2514,160,154,6,55.37,"技能職",,122,223500,0.00,157.00,なし,名鉄常滑線,新日鉄前,1,,,東海市,"技能（機械、製造、技術）",476-0015,"愛知県東海市東海町5-3　日本製鉄㈱名古屋製鉄所構内",業務チーム,前田　丞一郎,052-603-2551,052-604-4687,"240057　黒崎播磨　株式会社　名古屋支店　技能職"
2307-202119-0,23070ｰ344259,愛知県,2307,221,75,1,250033,山九株式会社　東海支店,サンキュウ　トウカイシテン,476-0015,愛知県東海市東海町３－１１－１,大型機械設備の設計・建設工事・メンテナンス,12292,94,91,3,286.19,"技能系社員(機械整備　東海市)",,122,221910,6.32,150.00,なし,名鉄常滑線,新日鉄前,1,,,東海市,"技能（機械、製造、技術）",476-0015,愛知県東海市東海町３－１１－１,人事・労政グループ,向井　亮,052-603-3900,052-604-2391,"240084　山九株式会社　東海支店　技能系社員(機械整備　東海市)"
2307-205266-3,23070ｰ198359,愛知県,2307,99,72,6,250034,名城食品　株式会社,メイジョウショクヒン,470-2212,愛知県知多郡阿久比町大字卯坂字梅ヶ丘148,麺類の製造販売,276,80,28,52,0.735,製造職(阿久比町),,113,188600,3.70,0.00,なし,名鉄河和線,阿久比,,,1,阿久比町,"技能（食品製造・調理）",470-2212,愛知県知多郡阿久比町大字卯坂字梅ヶ丘148,監査役,銭場　和己,0569-49-3180,0569-49-3181,240049　名城食品　株式会社　製造職(阿久比町)
2307-205266-3,23070ｰ197059,愛知県,2307,99,34,1,250035,名城食品　株式会社,メイジョウショクヒン,470-2212,愛知県知多郡阿久比町大字卯坂字梅ヶ丘148,麺類の製造販売,276,80,28,52,0.735,事務職,,113,188600,3.70,0.00,なし,名鉄河和線,阿久比,,1,,阿久比町,事務,470-2212,愛知県知多郡阿久比町大字卯坂字梅ヶ丘148,監査役,銭場　和己,0569-49-3180,0569-49-3181,220010　名城食品　株式会社　事務職
2307-170010-9,23070-474559,愛知県,2307,214,34,1,250036,株式会社　LIXIL　LWTJapan,リクシル　エルダブリュティージャパン,479-8585,愛知県常滑市鯉江本町５－１,建材・設備機器の製造・販売およびその関連サービス業,14527,529,343,186,346,一般事務,,125,186112,5.00,0.00,フレックス,名鉄常滑線,古見,,4,,知多市,事務,479-8585,愛知県常滑市鯉江本町５－１,人事総務課長,伊藤　勇樹,0562-31-0600,0569-33-0975,240108　株式会社　LIXIL　LWTJapan　一般事務
2307-170010-9,23070-473259,愛知県,2307,214,73,2,250037,株式会社　LIXIL　LWTJapan,リクシル　エルダブリュティージャパン,479-8585,愛知県常滑市鯉江本町５－１,建材・設備機器の製造・販売およびその関連サービス業,14527,529,343,186,346,製造・開発,,125,186112,5.00,0.00,フレックス,名鉄常滑線,古見,,,3,知多市,"技能（機械、製造、技術）",479-8585,愛知県常滑市鯉江本町５－１,人事総務課長,伊藤　勇樹,0562-31-0600,0569-33-0975,240109　株式会社　LIXIL　LWTJapan　製造・開発
2304-450599-8,23040ｰ244659,愛知県,2304,854,50,1,250038,社会福祉法人　福寿園,フクジュエン,441-3413,愛知県田原市六連町神ノ釜9-3,養護盲老人ホーム及び特別養護老人ホーム等の経営,1733,222,38,184,0,介護職,,111,166500,4.40,0.00,シフト,豊橋鉄道渥美線,豊島,,,1,田原市,介護,441-3413,愛知県田原市六連町神ノ釜9-3,総務部人事課　総務部長,古田　周作,0531-27-0008,0531-27-0828,240026　社会福祉法人　福寿園　介護職
2307-203049-0,23070-137859,愛知県,2307,854,50,1,250039,社会福祉法人　東海　特別養護老人ホーム　東海の里,トウカイ　トクベツヨウゴロウジンホーム　トウカイノサト,476-0011,愛知県東海市富木島町藤ノ棚1-1,特別養護老人ホーム,73,67,18,49,0,介護スタッフ,,107,155700,4.00,0.00,シフト,名鉄河和線,太田川,,,1,東海市,介護,476-0011,愛知県東海市富木島町藤ノ棚1-1,事務主任,岩永　佳宏,052-601-9621,052-601-9623,240089　社会福祉法人　東海　特別養護老人ホーム　東海の里　介護スタッフ
2311-189206-5,23110-718459,愛知県,2311,311,39,1,250040,愛知金属工業　株式会社,アイチキンゾク,474-0011,愛知県大府市余横根町茨狭間７番地の２３,自動車部品製作。切削加工、冷間鍛造加工。,54,51,34,17,0.15,生産現場事務員,,118,189000,0.36,0.00,なし,JR武豊線,大府,,1,,大府市,事務,474-0011,愛知県大府市余横根町茨狭間７番地の２３,総務経理課,矢上,0562-48-1234,0562-48-1878
2309-617666-5,23090-90759,愛知県,2309,804,56,3,250041,リゾートトラストゴルフ事業　株式会社　セントクリークゴルフクラブ,リゾートトラストゴルフジギョウセントクリークゴルフクラブ,444-2527,愛知県豊田市月原町黒木1-1,ゴルフ場,886,135,74,61,1,レストランホール業務,,120,198750,4.00,0.00,シフト,名鉄三河線,猿投,,,2,豊田市,接客・販売,444-2527,愛知県豊田市月原町黒木1-1,業務課長,櫻井,0565-64-2121,0565-64-2127,230057　リゾートトラストゴルフ事業株式会社セントクリークゴルフクラブ　キャディ及びマスター室
2309-617666-5,23090-89259,愛知県,2309,804,56,8,250042,リゾートトラストゴルフ事業　株式会社　セントクリークゴルフクラブ,リゾートトラストゴルフジギョウセントクリークゴルフクラブ,444-2527,愛知県豊田市月原町黒木1-1,ゴルフ場,886,135,74,61,1,コンシェルジュ・フロント,,120,198750,4.00,0.00,シフト,名鉄三河線,猿投,,,2,豊田市,接客・販売,444-2527,愛知県豊田市月原町黒木1-1,業務課長,櫻井,0565-64-2121,0565-64-2127,230057　リゾートトラストゴルフ事業株式会社セントクリークゴルフクラブ　キャディ及びマスター室
2309-617666-5,23090-88159,愛知県,2309,804,11,99,250043,リゾートトラストゴルフ事業　株式会社　セントクリークゴルフクラブ,リゾートトラストゴルフジギョウセントクリークゴルフクラブ,444-2527,愛知県豊田市月原町黒木1-1,ゴルフ場,886,135,74,61,1,コース整備業務,,120,206850,4.00,0.00,シフト,名鉄三河線,猿投,2,,,豊田市,接客・販売,444-2527,愛知県豊田市月原町黒木1-1,業務課長,櫻井,0565-64-2121,0565-64-2127,230057　リゾートトラストゴルフ事業株式会社セントクリークゴルフクラブ　キャディ及びマスター室
2309-617666-5,23090-87359,愛知県,2309,804,56,8,250044,リゾートトラストゴルフ事業　株式会社　セントクリークゴルフクラブ,リゾートトラストゴルフジギョウセントクリークゴルフクラブ,444-2527,愛知県豊田市月原町黒木1-1,ゴルフ場,886,135,74,61,1,スタートオフィス業務,,120,214950,4.00,0.00,シフト,名鉄三河線,猿投,,,2,豊田市,事務,444-2527,愛知県豊田市月原町黒木1-1,業務課長,櫻井,0565-64-2121,0565-64-2127,230057　リゾートトラストゴルフ事業株式会社セントクリークゴルフクラブ　キャディ及びマスター室
2311-403843-2,23110-284959,愛知県,2311,922,59,1,250045,株式会社　エスケイエム,エスケイエム,448-0831,愛知県刈谷市熊野町３丁目３－９,ビルメンテナンス業,957,19,13,6,0.5,施設警備業務（日勤・夜勤）（請）,,121,198200,4.78,0.00,2交代,JR東海道本線,逢妻,1,,,刈谷市、大府市、高浜市,その他,448-0831,愛知県刈谷市熊野町３丁目３－９,安全総務部　人事企画室,本美　広平,0566-27-5233,0566-27-5727,240066　株式会社　エスケイエム　施設警備業務（日勤・夜勤）（請）
2311-403843-2,23110-286059,愛知県,2311,922,8,4,250046,株式会社　エスケイエム,エスケイエム,448-0831,愛知県刈谷市熊野町３丁目３－９,ビルメンテナンス業,957,33,26,7,0.5,建築技術者,,121,198200,4.78,0.00,なし,JR東海道本線,逢妻,,,1,刈谷市,"技能（機械、製造、技術）",448-0831,愛知県刈谷市熊野町３丁目３－９,安全総務部　人事企画室,本美　広平,0566-27-5233,0566-27-5727
2303-90046-0,23030-905959,愛知県,2303,99,72,5,250047,カネハツ食品　株式会社,カネハツショクヒン,457-0863,名古屋市南区豊三丁目19番24号,食料品製造業（佃煮・煮豆・惣菜）,300,263,168,95,1,包装職,,116,189280,2.20,0.00,シフト,名鉄常滑線,豊田本町,,1,,名古屋市南区,"技能（食品製造・調理）",457-0863,名古屋市南区豊三丁目19番24号,総務人事課　,畑佐・藤田,052-691-6113,052-692-8871,240134　カネハツ食品　株式会社　包装職
2303-90046-0,23030-902459,愛知県,2303,99,40,1,250048,カネハツ食品　株式会社,カネハツショクヒン,457-0863,名古屋市南区豊三丁目19番24号,食料品製造業（佃煮・煮豆・惣菜）,300,263,168,95,1,事務職,,116,189280,2.20,0.00,シフト,名鉄常滑線,豊田本町,,1,,名古屋市南区,事務,457-0863,名古屋市南区豊三丁目19番24号,総務人事課　,畑佐・藤田,052-691-6113,052-692-8871,240134　カネハツ食品　株式会社　包装職
2307-203510-0,23070-255159,愛知県,2307,854,37,3,250049,社会福祉法人　南知多,ミナミチタ,470-3411,愛知県知多郡南知多町大字豊丘字平井14番地1,特別養老老人ホーム、ケアハウスなど計6つの高齢者福祉施設を展開,91,91,28,63,0,事務職員,,108,164000,3.80,32.00,なし,名鉄知多新線,内海,,2,,南知多町,事務,470-3411,愛知県知多郡南知多町大字豊丘字平井14番地1,施設長,服部　直美,0569-65-2965,0569-65-2967,240044　社会福祉法人　南知多　事務職員
2307-203510-0,23070-256259,愛知県,2307,854,50,1,250050,社会福祉法人　南知多,ミナミチタ,470-3411,愛知県知多郡南知多町大字豊丘字平井14番地1,特別養老老人ホーム、ケアハウスなど計6つの高齢者福祉施設を展開,91,91,26,65,0,介護職員,,108,163000,3.80,32.00,なし,名鉄知多新線,内海,,,1,南知多町,介護,470-3411,愛知県知多郡南知多町大字豊丘字平井14番地1,施設長,服部　直美,0569-65-2965,0569-65-2967,240043　社会福祉法人　南知多　介護職員
2307ｰ202640ｰ3,23070ｰ66059,愛知県,2307,62,92,1,250051,有限会社　栄春工務店,エイハルコウムテン,470-3411,愛知県知多郡南知多町大字豊丘字堂ノ上14,公共事業における土木作業,7,7,6,1,0.1,土木作業員,,105,280800,0.00,10.00,なし,,1,,,南知多町,"技能（その他）",470-3411,愛知県知多郡南知多町大字豊丘字堂ノ上14,"代表取締役",齋藤　勝也,0569-65-1172,0569-65-1752
